make[1]: Entering directory '/home/luowen/Programing/ACMtasks/CPU2024'
make[1]: Leaving directory '/home/luowen/Programing/ACMtasks/CPU2024'
VCD info: dumpfile test.vcd opened for output.
       615 ffb00150 000c0763
       616 ffb0015e 009907b3
       617 ffb00162 0007c683
       618 ffb00166 17fd873e
       619 ffb00168 002317fd
       620 ffb0016a 00da0023
0       621 ffb0016e fee91ae3
       622 ffb00172 96e30a91
       623 ffb00174 fb6a96e3
       624 ffb00120 000aa403
       625 ffb00124 4f634c01
       626 ffb00126 0c044f63
       627 ffb0012a 45a94c81
       628 ffb0012c 852245a9
       629 ffb0012e 37b58522
       630 ffb00130 84e637b5
       631 ffb0009c 00008293
       632 ffb000a0 0005ca63
       633 ffb000a4 00054c63
       634 ffb000a8 f79ff0ef
       635 ffb00020 00058613
       636 ffb00024 00050593
       637 ffb00028 fff00513
       638 ffb0002c 02060c63
       639 ffb00030 00100693
       640 ffb00034 00b67a63
       641 ffb00048 00000513
       642 ffb0004c 00c5e663
       643 ffb00058 0016d693
       644 ffb0005c 00165613
       645 ffb00060 fe0696e3
       646 ffb00064 00008067
       647 ffb000ac 00058513
       648 ffb000b0 00028067
       649 ffb00132 0c8584e6
       650 ffb00134 0d330c85
       651 ffb00136 01990d33
       652 ffb0013a 03050513
       653 ffb0013e fead0fa3
       654 ffb00142 852245a9
       655 ffb00144 8d228522
       656 ffb00146 3dc18d22
       657 ffb00148 842a3dc1
       658 ffb00018 06054063
       659 ffb0001c 0605c663
       660 ffb00020 00058613
       661 ffb00024 00050593
       662 ffb00028 fff00513
       663 ffb0002c 02060c63
       664 ffb00030 00100693
       665 ffb00034 00b67a63
       666 ffb00048 00000513
       667 ffb0004c 00c5e663
       668 ffb00058 0016d693
       669 ffb0005c 00165613
       670 ffb00060 fe0696e3
       671 ffb00064 00008067
       672 ffb0014a c0e3842a
       673 ffb0014c ffa9c0e3
       674 ffb00150 000c0763
       675 ffb0015e 009907b3
       676 ffb00162 0007c683
       677 ffb00166 17fd873e
       678 ffb00168 002317fd
       679 ffb0016a 00da0023
0       680 ffb0016e fee91ae3
       681 ffb00172 96e30a91
       682 ffb00174 fb6a96e3
       683 ffb00120 000aa403
       684 ffb00124 4f634c01
       685 ffb00126 0c044f63
       686 ffb0012a 45a94c81
       687 ffb0012c 852245a9
       688 ffb0012e 37b58522
       689 ffb00130 84e637b5
       690 ffb0009c 00008293
       691 ffb000a0 0005ca63
       692 ffb000a4 00054c63
       693 ffb000a8 f79ff0ef
       694 ffb00020 00058613
       695 ffb00024 00050593
       696 ffb00028 fff00513
       697 ffb0002c 02060c63
       698 ffb00030 00100693
       699 ffb00034 00b67a63
       700 ffb00048 00000513
       701 ffb0004c 00c5e663
       702 ffb00058 0016d693
       703 ffb0005c 00165613
       704 ffb00060 fe0696e3
       705 ffb00064 00008067
       706 ffb000ac 00058513
       707 ffb000b0 00028067
       708 ffb00132 0c8584e6
       709 ffb00134 0d330c85
       710 ffb00136 01990d33
       711 ffb0013a 03050513
       712 ffb0013e fead0fa3
       713 ffb00142 852245a9
       714 ffb00144 8d228522
       715 ffb00146 3dc18d22
       716 ffb00148 842a3dc1
       717 ffb00018 06054063
       718 ffb0001c 0605c663
       719 ffb00020 00058613
       720 ffb00024 00050593
       721 ffb00028 fff00513
       722 ffb0002c 02060c63
       723 ffb00030 00100693
       724 ffb00034 00b67a63
       725 ffb00048 00000513
       726 ffb0004c 00c5e663
       727 ffb00058 0016d693
       728 ffb0005c 00165613
       729 ffb00060 fe0696e3
       730 ffb00064 00008067
       731 ffb0014a c0e3842a
       732 ffb0014c ffa9c0e3
       733 ffb00150 000c0763
       734 ffb0015e 009907b3
       735 ffb00162 0007c683
       736 ffb00166 17fd873e
       737 ffb00168 002317fd
       738 ffb0016a 00da0023
0       739 ffb0016e fee91ae3
       740 ffb00172 96e30a91
       741 ffb00174 fb6a96e3
       742 ffb00120 000aa403
       743 ffb00124 4f634c01
       744 ffb00126 0c044f63
       745 ffb0012a 45a94c81
       746 ffb0012c 852245a9
       747 ffb0012e 37b58522
       748 ffb00130 84e637b5
       749 ffb0009c 00008293
       750 ffb000a0 0005ca63
       751 ffb000a4 00054c63
       752 ffb000a8 f79ff0ef
       753 ffb00020 00058613
       754 ffb00024 00050593
       755 ffb00028 fff00513
       756 ffb0002c 02060c63
       757 ffb00030 00100693
       758 ffb00034 00b67a63
       759 ffb00048 00000513
       760 ffb0004c 00c5e663
       761 ffb00058 0016d693
       762 ffb0005c 00165613
       763 ffb00060 fe0696e3
       764 ffb00064 00008067
       765 ffb000ac 00058513
       766 ffb000b0 00028067
       767 ffb00132 0c8584e6
       768 ffb00134 0d330c85
       769 ffb00136 01990d33
       770 ffb0013a 03050513
       771 ffb0013e fead0fa3
       772 ffb00142 852245a9
       773 ffb00144 8d228522
       774 ffb00146 3dc18d22
       775 ffb00148 842a3dc1
       776 ffb00018 06054063
       777 ffb0001c 0605c663
       778 ffb00020 00058613
       779 ffb00024 00050593
       780 ffb00028 fff00513
       781 ffb0002c 02060c63
       782 ffb00030 00100693
       783 ffb00034 00b67a63
       784 ffb00048 00000513
       785 ffb0004c 00c5e663
       786 ffb00058 0016d693
       787 ffb0005c 00165613
       788 ffb00060 fe0696e3
       789 ffb00064 00008067
       790 ffb0014a c0e3842a
       791 ffb0014c ffa9c0e3
       792 ffb00150 000c0763
       793 ffb0015e 009907b3
       794 ffb00162 0007c683
       795 ffb00166 17fd873e
       796 ffb00168 002317fd
       797 ffb0016a 00da0023
0       798 ffb0016e fee91ae3
       799 ffb00172 96e30a91
       800 ffb00174 fb6a96e3
       801 ffb00178 002347a9
       802 ffb0017a 00fa0023

       803 ffb0017e 01010b13
       804 ffb00182 0b934a25
       805 ffb00184 02d00b93
       806 ffb00188 00030ab7
       807 ffb0018c 000b2403
       808 ffb00190 4d634c01
       809 ffb00192 06044d63
       810 ffb00196 45a94981
       811 ffb00198 852245a9
       812 ffb0019a 37018522
       813 ffb0019c 84ce3701
       814 ffb0009c 00008293
       815 ffb000a0 0005ca63
       816 ffb000a4 00054c63
       817 ffb000a8 f79ff0ef
       818 ffb00020 00058613
       819 ffb00024 00050593
       820 ffb00028 fff00513
       821 ffb0002c 02060c63
       822 ffb00030 00100693
       823 ffb00034 00b67a63
       824 ffb00048 00000513
       825 ffb0004c 00c5e663
       826 ffb00058 0016d693
       827 ffb0005c 00165613
       828 ffb00060 fe0696e3
       829 ffb00064 00008067
       830 ffb000ac 00058513
       831 ffb000b0 00028067
       832 ffb0019e 098584ce
       833 ffb001a0 0cb30985
       834 ffb001a2 01390cb3
       835 ffb001a6 03050513
       836 ffb001aa feac8fa3
       837 ffb001ae 852245a9
       838 ffb001b0 8ca28522
       839 ffb001b2 35958ca2
       840 ffb001b4 842a3595
       841 ffb00018 06054063
       842 ffb0001c 0605c663
       843 ffb00020 00058613
       844 ffb00024 00050593
       845 ffb00028 fff00513
       846 ffb0002c 02060c63
       847 ffb00030 00100693
       848 ffb00034 00b67a63
       849 ffb00048 00000513
       850 ffb0004c 00c5e663
       851 ffb00058 0016d693
       852 ffb0005c 00165613
       853 ffb00060 fe0696e3
       854 ffb00064 00008067
       855 ffb001b6 40e3842a
       856 ffb001b8 ff9a40e3
       857 ffb001bc 000c0763
       858 ffb001ca 009907b3
       859 ffb001ce 0007c683
       860 ffb001d2 17fd873e
       861 ffb001d4 802317fd
       862 ffb001d6 00da8023
0       863 ffb001da fee91ae3
       864 ffb001de 101c0b11
       865 ffb001e0 95e3101c
       866 ffb001e2 fb6795e3
       867 ffb0018c 000b2403
       868 ffb00190 4d634c01
       869 ffb00192 06044d63
       870 ffb00196 45a94981
       871 ffb00198 852245a9
       872 ffb0019a 37018522
       873 ffb0019c 84ce3701
       874 ffb0009c 00008293
       875 ffb000a0 0005ca63
       876 ffb000a4 00054c63
       877 ffb000a8 f79ff0ef
       878 ffb00020 00058613
       879 ffb00024 00050593
       880 ffb00028 fff00513
       881 ffb0002c 02060c63
       882 ffb00030 00100693
       883 ffb00034 00b67a63
       884 ffb00048 00000513
       885 ffb0004c 00c5e663
       886 ffb00058 0016d693
       887 ffb0005c 00165613
       888 ffb00060 fe0696e3
       889 ffb00064 00008067
       890 ffb000ac 00058513
       891 ffb000b0 00028067
       892 ffb0019e 098584ce
       893 ffb001a0 0cb30985
       894 ffb001a2 01390cb3
       895 ffb001a6 03050513
       896 ffb001aa feac8fa3
       897 ffb001ae 852245a9
       898 ffb001b0 8ca28522
       899 ffb001b2 35958ca2
       900 ffb001b4 842a3595
       901 ffb00018 06054063
       902 ffb0001c 0605c663
       903 ffb00020 00058613
       904 ffb00024 00050593
       905 ffb00028 fff00513
       906 ffb0002c 02060c63
       907 ffb00030 00100693
       908 ffb00034 00b67a63
       909 ffb00048 00000513
       910 ffb0004c 00c5e663
       911 ffb00058 0016d693
       912 ffb0005c 00165613
       913 ffb00060 fe0696e3
       914 ffb00064 00008067
       915 ffb001b6 40e3842a
       916 ffb001b8 ff9a40e3
       917 ffb001bc 000c0763
       918 ffb001ca 009907b3
       919 ffb001ce 0007c683
       920 ffb001d2 17fd873e
       921 ffb001d4 802317fd
       922 ffb001d6 00da8023
0       923 ffb001da fee91ae3
       924 ffb001de 101c0b11
       925 ffb001e0 95e3101c
       926 ffb001e2 fb6795e3
       927 ffb0018c 000b2403
       928 ffb00190 4d634c01
       929 ffb00192 06044d63
       930 ffb00196 45a94981
       931 ffb00198 852245a9
       932 ffb0019a 37018522
       933 ffb0019c 84ce3701
       934 ffb0009c 00008293
       935 ffb000a0 0005ca63
       936 ffb000a4 00054c63
       937 ffb000a8 f79ff0ef
       938 ffb00020 00058613
       939 ffb00024 00050593
       940 ffb00028 fff00513
       941 ffb0002c 02060c63
       942 ffb00030 00100693
       943 ffb00034 00b67a63
       944 ffb00048 00000513
       945 ffb0004c 00c5e663
       946 ffb00058 0016d693
       947 ffb0005c 00165613
       948 ffb00060 fe0696e3
       949 ffb00064 00008067
       950 ffb000ac 00058513
       951 ffb000b0 00028067
       952 ffb0019e 098584ce
       953 ffb001a0 0cb30985
       954 ffb001a2 01390cb3
       955 ffb001a6 03050513
       956 ffb001aa feac8fa3
       957 ffb001ae 852245a9
       958 ffb001b0 8ca28522
       959 ffb001b2 35958ca2
       960 ffb001b4 842a3595
       961 ffb00018 06054063
       962 ffb0001c 0605c663
       963 ffb00020 00058613
       964 ffb00024 00050593
       965 ffb00028 fff00513
       966 ffb0002c 02060c63
       967 ffb00030 00100693
       968 ffb00034 00b67a63
       969 ffb00048 00000513
       970 ffb0004c 00c5e663
       971 ffb00058 0016d693
       972 ffb0005c 00165613
       973 ffb00060 fe0696e3
       974 ffb00064 00008067
       975 ffb001b6 40e3842a
       976 ffb001b8 ff9a40e3
       977 ffb001bc 000c0763
       978 ffb001ca 009907b3
       979 ffb001ce 0007c683
       980 ffb001d2 17fd873e
       981 ffb001d4 802317fd
       982 ffb001d6 00da8023
0       983 ffb001da fee91ae3
       984 ffb001de 101c0b11
       985 ffb001e0 95e3101c
       986 ffb001e2 fb6795e3
       987 ffb0018c 000b2403
       988 ffb00190 4d634c01
       989 ffb00192 06044d63
       990 ffb00196 45a94981
       991 ffb00198 852245a9
       992 ffb0019a 37018522
       993 ffb0019c 84ce3701
       994 ffb0009c 00008293
       995 ffb000a0 0005ca63
       996 ffb000a4 00054c63
       997 ffb000a8 f79ff0ef
